11,-58,-67,-64,-69,-73
11,-57,-68,-66,-70,-67
11,-59,-68,-66,-66,-74
11,-57,-67,-68,-65,-66
11,-58,-67,-69,-65,-63
11,-60,-65,-76,-75,-68
11,-57,-70,-76,-74,-67
11,-60,-72,-63,-75,-62
11,-59,-70,-67,-74,-67
11,-59,-65,-64,-64,-63
11,-59,-70,-76,-70,-63
11,-60,-70,-64,-75,-72
11,-59,-71,-66,-75,-63
11,-60,-69,-67,-70,-72
11,-59,-71,-64,-75,-63
11,-60,-74,-76,-74,-67
11,-63,-65,-64,-72,-70
11,-57,-65,-70,-73,-70
11,-60,-69,-76,-75,-63
11,-61,-65,-73,-77,-62
11,-59,-68,-64,-74,-68
11,-59,-66,-76,-73,-74
11,-57,-69,-65,-66,-68
11,-57,-66,-68,-65,-63
11,-58,-66,-69,-63,-68
11,-61,-66,-70,-72,-69
11,-65,-64,-75,-75,-68
11,-57,-72,-65,-68,-66
11,-58,-65,-75,-75,-67
11,-60,-69,-67,-69,-68
11,-62,-65,-74,-66,-68
11,-56,-73,-65,-75,-66
11,-61,-68,-69,-74,-66
11,-60,-66,-71,-73,-68
11,-61,-68,-67,-72,-66
11,-59,-67,-66,-71,-68
11,-62,-64,-68,-69,-70
11,-61,-67,-76,-77,-74
11,-62,-69,-68,-69,-68
11,-57,-67,-75,-78,-72
11,-61,-67,-69,-64,-68
11,-57,-66,-68,-67,-69
11,-61,-70,-70,-76,-65
11,-59,-69,-65,-67,-68
11,-60,-65,-75,-75,-74
11,-61,-73,-65,-65,-70
11,-58,-69,-71,-63,-64
11,-60,-65,-74,-77,-70
11,-61,-71,-63,-70,-69
11,-59,-69,-66,-64,-68
11,-60,-65,-64,-71,-67
11,-58,-70,-66,-66,-69
11,-58,-67,-65,-72,-68
11,-59,-67,-66,-75,-68
11,-59,-66,-63,-69,-66
11,-59,-68,-75,-73,-74
11,-59,-70,-65,-71,-65
11,-58,-69,-64,-76,-72
11,-59,-66,-76,-75,-67
11,-58,-68,-65,-74,-74
11,-61,-65,-68,-74,-66
11,-60,-65,-66,-70,-69
11,-61,-66,-75,-66,-72
11,-57,-66,-64,-67,-75
11,-59,-68,-71,-68,-67
11,-60,-66,-70,-79,-71
11,-59,-69,-65,-77,-71
11,-57,-65,-72,-71,-74
11,-59,-69,-68,-68,-68
11,-60,-71,-68,-77,-70
11,-60,-73,-72,-71,-76
11,-58,-67,-68,-71,-64
11,-58,-74,-66,-67,-75
11,-59,-72,-66,-80,-69
11,-59,-69,-67,-71,-72
11,-59,-71,-67,-73,-74
11,-57,-71,-66,-75,-74
11,-59,-67,-67,-74,-72
11,-59,-71,-69,-74,-73
11,-60,-69,-69,-67,-69
11,-60,-67,-67,-71,-74
11,-60,-65,-73,-67,-75
11,-59,-69,-72,-79,-64
11,-59,-66,-64,-67,-69
11,-58,-74,-67,-74,-74
11,-60,-64,-68,-71,-75
11,-59,-73,-68,-69,-69
11,-58,-69,-73,-66,-62
11,-61,-72,-68,-71,-75
11,-57,-65,-66,-67,-62
11,-60,-72,-67,-78,-75
11,-59,-69,-73,-71,-64
11,-59,-68,-69,-68,-64
11,-58,-65,-66,-78,-74
11,-60,-69,-73,-71,-64
11,-61,-65,-65,-79,-74
11,-59,-74,-68,-79,-64
11,-58,-68,-72,-67,-73
11,-59,-69,-72,-67,-69
11,-60,-71,-66,-67,-73
11,-58,-72,-69,-67,-73
11,-58,-70,-67,-67,-74
11,-57,-71,-72,-71,-64
11,-61,-65,-66,-66,-74
11,-60,-70,-65,-71,-70
11,-57,-66,-64,-68,-67
11,-58,-68,-66,-84,-64
11,-59,-66,-63,-73,-67
11,-57,-66,-69,-75,-71
11,-60,-67,-65,-67,-64
11,-59,-71,-66,-74,-75
