0,1,2,3,4,position
-87.0,-83.0,-83.0,-70.0,-80.0,4
-87.0,-89.0,-83.0,-70.0,-80.0,4
-87.0,-89.0,-83.0,-70.0,-78.0,4
-87.0,-89.0,-83.0,-75.0,-78.0,4
-89.0,-89.0,-83.0,-75.0,-78.0,4
-89.0,-84.0,-83.0,-75.0,-78.0,4
-89.0,-84.0,-83.0,-75.0,-81.0,4
-89.0,-84.0,-83.0,-73.0,-78.0,4
-89.0,-84.0,-82.0,-73.0,-78.0,4
-89.0,-85.0,-82.0,-73.0,-78.0,4
-89.0,-85.0,-82.0,-73.0,-80.0,4
-89.0,-85.0,-82.0,-75.0,-80.0,4
-83.0,-85.0,-82.0,-75.0,-80.0,4
-83.0,-85.0,-82.0,-71.0,-80.0,4
-83.0,-84.0,-82.0,-71.0,-80.0,4
-83.0,-84.0,-82.0,-71.0,-77.0,4
-83.0,-84.0,-82.0,-75.0,-77.0,4
-83.0,-84.0,-82.0,-75.0,-80.0,4
-82.0,-84.0,-82.0,-71.0,-80.0,4
-82.0,-84.0,-83.0,-71.0,-80.0,4
-82.0,-84.0,-83.0,-71.0,-77.0,4
-82.0,-84.0,-83.0,-75.0,-77.0,4
-82.0,-84.0,-83.0,-75.0,-81.0,4
-82.0,-89.0,-83.0,-75.0,-81.0,4
-82.0,-89.0,-83.0,-75.0,-76.0,4
-82.0,-89.0,-88.0,-75.0,-76.0,4
-82.0,-82.0,-88.0,-75.0,-76.0,4
-82.0,-82.0,-88.0,-75.0,-80.0,4
-82.0,-82.0,-88.0,-70.0,-80.0,4
-82.0,-82.0,-81.0,-70.0,-80.0,4
-82.0,-87.0,-81.0,-70.0,-80.0,4
-82.0,-87.0,-81.0,-75.0,-80.0,4
-82.0,-84.0,-81.0,-75.0,-80.0,4
-82.0,-84.0,-81.0,-75.0,-77.0,4
-83.0,-84.0,-81.0,-75.0,-77.0,4
-83.0,-84.0,-83.0,-75.0,-77.0,4
-83.0,-86.0,-83.0,-75.0,-77.0,4
-83.0,-86.0,-83.0,-75.0,-79.0,4
-83.0,-86.0,-83.0,-74.0,-79.0,4
-83.0,-86.0,-83.0,-74.0,-81.0,4
-84.0,-86.0,-83.0,-74.0,-81.0,4
-84.0,-86.0,-83.0,-74.0,-82.0,4
-84.0,-86.0,-83.0,-76.0,-82.0,4
-84.0,-86.0,-83.0,-71.0,-82.0,4
-83.0,-86.0,-83.0,-71.0,-82.0,4
-83.0,-86.0,-83.0,-71.0,-81.0,4
-83.0,-86.0,-83.0,-76.0,-81.0,4
-84.0,-86.0,-83.0,-76.0,-81.0,4
-84.0,-86.0,-83.0,-76.0,-79.0,4
-84.0,-86.0,-83.0,-75.0,-79.0,4
-85.0,-86.0,-83.0,-75.0,-79.0,4
-85.0,-86.0,-83.0,-75.0,-77.0,4
-85.0,-86.0,-83.0,-70.0,-77.0,4
-82.0,-86.0,-83.0,-70.0,-77.0,4
-82.0,-86.0,-82.0,-70.0,-77.0,4
-82.0,-84.0,-82.0,-70.0,-77.0,4
-82.0,-84.0,-82.0,-70.0,-79.0,4
-82.0,-84.0,-82.0,-75.0,-79.0,4
-82.0,-84.0,-86.0,-75.0,-79.0,4
-82.0,-85.0,-86.0,-75.0,-79.0,4
-82.0,-85.0,-86.0,-75.0,-76.0,4
-82.0,-85.0,-83.0,-75.0,-76.0,4
-82.0,-83.0,-83.0,-75.0,-76.0,4
-82.0,-83.0,-83.0,-71.0,-79.0,4
-82.0,-83.0,-83.0,-76.0,-79.0,4
-82.0,-83.0,-83.0,-76.0,-77.0,4
-82.0,-83.0,-83.0,-74.0,-77.0,4
-83.0,-83.0,-83.0,-74.0,-77.0,4
-83.0,-83.0,-83.0,-74.0,-80.0,4
-83.0,-83.0,-83.0,-75.0,-80.0,4
-83.0,-83.0,-89.0,-75.0,-80.0,4
-83.0,-90.0,-89.0,-75.0,-80.0,4
-83.0,-90.0,-82.0,-75.0,-80.0,4
-83.0,-90.0,-82.0,-76.0,-80.0,4
-84.0,-90.0,-82.0,-76.0,-80.0,4
-84.0,-90.0,-82.0,-69.0,-80.0,4
-83.0,-90.0,-82.0,-69.0,-80.0,4
-83.0,-90.0,-82.0,-74.0,-80.0,4
-84.0,-90.0,-82.0,-74.0,-80.0,4
-84.0,-90.0,-89.0,-74.0,-80.0,4
-84.0,-90.0,-89.0,-71.0,-80.0,4
-83.0,-90.0,-89.0,-71.0,-80.0,4
-83.0,-84.0,-89.0,-75.0,-80.0,4
-84.0,-84.0,-82.0,-71.0,-80.0,4
-84.0,-84.0,-82.0,-71.0,-79.0,4
-84.0,-84.0,-82.0,-74.0,-79.0,4
-84.0,-84.0,-82.0,-74.0,-80.0,4
-84.0,-84.0,-82.0,-68.0,-80.0,4
-80.0,-84.0,-82.0,-68.0,-80.0,4
-84.0,-84.0,-82.0,-75.0,-80.0,4
-84.0,-84.0,-82.0,-75.0,-81.0,4
-84.0,-89.0,-82.0,-75.0,-81.0,4
-84.0,-89.0,-82.0,-70.0,-81.0,4
-84.0,-85.0,-82.0,-70.0,-81.0,4
-84.0,-85.0,-82.0,-75.0,-81.0,4
-85.0,-85.0,-82.0,-75.0,-81.0,4
-85.0,-85.0,-82.0,-70.0,-81.0,4
-85.0,-85.0,-81.0,-70.0,-81.0,4
-85.0,-85.0,-81.0,-70.0,-80.0,4
-85.0,-85.0,-81.0,-75.0,-80.0,4
-85.0,-82.0,-81.0,-75.0,-80.0,4
-85.0,-82.0,-81.0,-75.0,-77.0,4
-85.0,-90.0,-81.0,-75.0,-77.0,4
-84.0,-90.0,-81.0,-75.0,-77.0,4
-84.0,-90.0,-82.0,-75.0,-77.0,4
-84.0,-90.0,-82.0,-75.0,-80.0,4
-84.0,-82.0,-82.0,-75.0,-80.0,4
-84.0,-82.0,-82.0,-70.0,-80.0,4
-84.0,-82.0,-82.0,-70.0,-77.0,4
-84.0,-82.0,-82.0,-75.0,-77.0,4
-84.0,-82.0,-81.0,-75.0,-77.0,4
-84.0,-82.0,-81.0,-75.0,-80.0,4
-84.0,-86.0,-81.0,-75.0,-80.0,4
-84.0,-86.0,-81.0,-70.0,-80.0,4
-84.0,-83.0,-81.0,-75.0,-80.0,4
-82.0,-83.0,-81.0,-75.0,-80.0,4
-82.0,-83.0,-82.0,-75.0,-80.0,4
-82.0,-83.0,-82.0,-75.0,-77.0,4
-82.0,-83.0,-82.0,-71.0,-77.0,4
-82.0,-87.0,-82.0,-71.0,-77.0,4
-82.0,-87.0,-82.0,-71.0,-80.0,4
-82.0,-87.0,-82.0,-75.0,-80.0,4
-82.0,-82.0,-81.0,-75.0,-80.0,4
-82.0,-82.0,-81.0,-75.0,-77.0,4
-82.0,-82.0,-81.0,-70.0,-77.0,4
-82.0,-82.0,-81.0,-70.0,-79.0,4
-82.0,-82.0,-81.0,-75.0,-79.0,4
-87.0,-82.0,-81.0,-75.0,-77.0,4
-87.0,-82.0,-81.0,-71.0,-77.0,4
-87.0,-86.0,-81.0,-71.0,-77.0,4
-87.0,-86.0,-81.0,-71.0,-80.0,4
-87.0,-86.0,-82.0,-71.0,-80.0,4
-86.0,-86.0,-82.0,-71.0,-80.0,4
-86.0,-86.0,-82.0,-71.0,-79.0,4
-86.0,-86.0,-83.0,-71.0,-79.0,4
-86.0,-90.0,-83.0,-71.0,-79.0,4
-86.0,-90.0,-83.0,-71.0,-75.0,4
-86.0,-90.0,-83.0,-75.0,-75.0,4
-86.0,-82.0,-83.0,-75.0,-75.0,4
-86.0,-82.0,-83.0,-75.0,-80.0,4
-86.0,-82.0,-83.0,-75.0,-81.0,4
-86.0,-82.0,-83.0,-76.0,-81.0,4
-86.0,-82.0,-83.0,-76.0,-76.0,4
-86.0,-82.0,-83.0,-70.0,-76.0,4
-86.0,-82.0,-83.0,-70.0,-81.0,4
-86.0,-82.0,-89.0,-70.0,-76.0,4
-86.0,-82.0,-89.0,-70.0,-80.0,4
-86.0,-82.0,-88.0,-70.0,-76.0,4
-86.0,-82.0,-88.0,-70.0,-80.0,4
-86.0,-82.0,-88.0,-75.0,-80.0,4
-81.0,-82.0,-88.0,-75.0,-80.0,4
-81.0,-82.0,-88.0,-75.0,-76.0,4
-81.0,-82.0,-82.0,-75.0,-80.0,4
-85.0,-82.0,-82.0,-75.0,-80.0,4
-85.0,-84.0,-82.0,-75.0,-80.0,4
-85.0,-84.0,-82.0,-75.0,-75.0,4
-85.0,-84.0,-82.0,-70.0,-75.0,4
-85.0,-84.0,-90.0,-70.0,-75.0,4
-85.0,-84.0,-90.0,-70.0,-79.0,4
-84.0,-84.0,-90.0,-70.0,-79.0,4
-84.0,-84.0,-90.0,-75.0,-79.0,4
-84.0,-84.0,-90.0,-75.0,-77.0,4
-84.0,-84.0,-90.0,-76.0,-77.0,4
-84.0,-84.0,-90.0,-76.0,-80.0,4
-84.0,-84.0,-90.0,-75.0,-80.0,4
-84.0,-85.0,-90.0,-75.0,-80.0,4
-84.0,-85.0,-90.0,-75.0,-76.0,4
-84.0,-85.0,-90.0,-71.0,-76.0,4
-84.0,-85.0,-89.0,-71.0,-76.0,4
-84.0,-85.0,-89.0,-71.0,-82.0,4
-81.0,-85.0,-89.0,-71.0,-82.0,4
-81.0,-85.0,-89.0,-75.0,-82.0,4
-81.0,-85.0,-89.0,-75.0,-77.0,4
-81.0,-85.0,-89.0,-70.0,-77.0,4
-81.0,-83.0,-89.0,-70.0,-77.0,4
-81.0,-83.0,-89.0,-70.0,-80.0,4
-82.0,-83.0,-89.0,-70.0,-80.0,4
-82.0,-83.0,-89.0,-75.0,-80.0,4
-82.0,-83.0,-89.0,-75.0,-76.0,4
-81.0,-83.0,-89.0,-75.0,-76.0,4
-81.0,-83.0,-89.0,-71.0,-76.0,4
-81.0,-84.0,-89.0,-71.0,-76.0,4
-81.0,-84.0,-89.0,-71.0,-80.0,4
-82.0,-84.0,-89.0,-71.0,-80.0,4
-82.0,-84.0,-89.0,-75.0,-80.0,4
-82.0,-83.0,-83.0,-75.0,-80.0,4
-82.0,-83.0,-83.0,-75.0,-77.0,4
-84.0,-84.0,-82.0,-75.0,-77.0,4
-82.0,-84.0,-82.0,-75.0,-77.0,4
-82.0,-84.0,-82.0,-68.0,-77.0,4
-82.0,-85.0,-82.0,-68.0,-77.0,4
-82.0,-85.0,-82.0,-68.0,-81.0,4
-82.0,-85.0,-82.0,-75.0,-81.0,4
-82.0,-85.0,-82.0,-75.0,-77.0,4
-83.0,-85.0,-82.0,-75.0,-77.0,4
-83.0,-85.0,-82.0,-71.0,-77.0,4
-83.0,-85.0,-82.0,-71.0,-81.0,4
-83.0,-85.0,-82.0,-76.0,-81.0,4
-83.0,-82.0,-82.0,-76.0,-81.0,4
-83.0,-82.0,-83.0,-76.0,-81.0,4
-83.0,-82.0,-83.0,-71.0,-81.0,4
-83.0,-82.0,-83.0,-75.0,-81.0,4
-83.0,-84.0,-82.0,-75.0,-81.0,4
-81.0,-84.0,-82.0,-75.0,-81.0,4
-81.0,-84.0,-82.0,-73.0,-81.0,4
-81.0,-84.0,-81.0,-73.0,-81.0,4
-81.0,-84.0,-89.0,-73.0,-81.0,4
-81.0,-84.0,-89.0,-73.0,-77.0,4
-81.0,-84.0,-89.0,-75.0,-77.0,4
-81.0,-84.0,-82.0,-75.0,-77.0,4
-85.0,-84.0,-82.0,-75.0,-81.0,4
-85.0,-86.0,-82.0,-75.0,-81.0,4
-85.0,-86.0,-82.0,-75.0,-77.0,4
-85.0,-86.0,-82.0,-75.0,-80.0,4
-82.0,-86.0,-82.0,-75.0,-80.0,4
-82.0,-86.0,-82.0,-71.0,-80.0,4
-82.0,-86.0,-82.0,-71.0,-77.0,4
-83.0,-86.0,-82.0,-71.0,-77.0,4
-83.0,-86.0,-82.0,-75.0,-77.0,4
-83.0,-86.0,-82.0,-75.0,-81.0,4
-83.0,-86.0,-82.0,-77.0,-81.0,4
-83.0,-85.0,-82.0,-77.0,-81.0,4
-83.0,-85.0,-88.0,-77.0,-81.0,4
-84.0,-85.0,-88.0,-77.0,-81.0,4
-84.0,-85.0,-88.0,-75.0,-81.0,4
-84.0,-85.0,-82.0,-71.0,-81.0,4
-84.0,-85.0,-82.0,-75.0,-80.0,4
-84.0,-85.0,-82.0,-76.0,-80.0,4
-84.0,-85.0,-82.0,-76.0,-75.0,4
-84.0,-85.0,-82.0,-75.0,-75.0,4
-84.0,-85.0,-82.0,-75.0,-79.0,4
-84.0,-85.0,-82.0,-65.0,-79.0,4
-84.0,-85.0,-82.0,-68.0,-79.0,4
-84.0,-85.0,-82.0,-74.0,-79.0,4
-83.0,-85.0,-82.0,-74.0,-79.0,4
-83.0,-85.0,-82.0,-75.0,-79.0,4
-83.0,-85.0,-81.0,-75.0,-79.0,4
-83.0,-85.0,-81.0,-75.0,-80.0,4
-83.0,-85.0,-81.0,-68.0,-80.0,4
-83.0,-84.0,-81.0,-68.0,-80.0,4
-83.0,-84.0,-81.0,-75.0,-80.0,4
-83.0,-84.0,-81.0,-75.0,-79.0,4
-83.0,-84.0,-81.0,-70.0,-79.0,4
-84.0,-84.0,-81.0,-70.0,-79.0,4
-84.0,-84.0,-81.0,-75.0,-79.0,4
-84.0,-82.0,-81.0,-75.0,-79.0,4
-84.0,-82.0,-81.0,-74.0,-79.0,4
-84.0,-82.0,-81.0,-71.0,-79.0,4
-84.0,-82.0,-81.0,-68.0,-79.0,4
-83.0,-82.0,-81.0,-68.0,-79.0,4
-83.0,-82.0,-81.0,-74.0,-79.0,4
-83.0,-80.0,-81.0,-74.0,-79.0,4
-83.0,-80.0,-81.0,-68.0,-79.0,4
-83.0,-80.0,-81.0,-68.0,-80.0,4
-83.0,-80.0,-81.0,-73.0,-80.0,4
-83.0,-80.0,-81.0,-73.0,-81.0,4
-83.0,-80.0,-82.0,-73.0,-81.0,4
-83.0,-80.0,-82.0,-75.0,-81.0,4
-82.0,-80.0,-82.0,-73.0,-81.0,4
-82.0,-80.0,-82.0,-73.0,-76.0,4
-82.0,-80.0,-82.0,-75.0,-76.0,4
-82.0,-80.0,-82.0,-66.0,-76.0,4
-85.0,-80.0,-82.0,-66.0,-76.0,4
-85.0,-80.0,-82.0,-69.0,-76.0,4
-81.0,-80.0,-82.0,-69.0,-76.0,4
-81.0,-84.0,-82.0,-69.0,-76.0,4
-81.0,-84.0,-82.0,-74.0,-79.0,4
-82.0,-84.0,-82.0,-74.0,-79.0,4
-82.0,-84.0,-82.0,-71.0,-79.0,4
-82.0,-84.0,-82.0,-74.0,-80.0,4
-81.0,-84.0,-82.0,-74.0,-80.0,4
-81.0,-84.0,-83.0,-74.0,-80.0,4
-81.0,-84.0,-83.0,-69.0,-80.0,4
-81.0,-89.0,-83.0,-69.0,-80.0,4
-81.0,-89.0,-83.0,-75.0,-80.0,4
-81.0,-89.0,-83.0,-75.0,-75.0,4
-81.0,-89.0,-83.0,-69.0,-75.0,4
-83.0,-89.0,-83.0,-69.0,-75.0,4
-83.0,-89.0,-86.0,-69.0,-75.0,4
-83.0,-89.0,-86.0,-74.0,-75.0,4
-83.0,-89.0,-86.0,-74.0,-73.0,4
-83.0,-89.0,-82.0,-74.0,-73.0,4
-83.0,-89.0,-82.0,-69.0,-73.0,4
-82.0,-89.0,-82.0,-69.0,-73.0,4
-82.0,-83.0,-82.0,-69.0,-73.0,4
-82.0,-83.0,-82.0,-69.0,-78.0,4
-82.0,-83.0,-82.0,-74.0,-78.0,4
-82.0,-88.0,-82.0,-74.0,-78.0,4
-82.0,-88.0,-82.0,-74.0,-81.0,4
-82.0,-88.0,-83.0,-74.0,-81.0,4
-82.0,-88.0,-83.0,-69.0,-81.0,4
-83.0,-88.0,-83.0,-69.0,-81.0,4
-83.0,-86.0,-83.0,-69.0,-81.0,4
-83.0,-86.0,-83.0,-74.0,-75.0,4
-83.0,-86.0,-81.0,-74.0,-75.0,4
-83.0,-86.0,-84.0,-74.0,-75.0,4
-83.0,-86.0,-84.0,-69.0,-75.0,4
-83.0,-86.0,-84.0,-69.0,-78.0,4
-83.0,-86.0,-83.0,-69.0,-78.0,4
-83.0,-86.0,-83.0,-74.0,-78.0,4
-83.0,-85.0,-83.0,-74.0,-78.0,4
-83.0,-81.0,-83.0,-74.0,-78.0,4
-83.0,-81.0,-83.0,-74.0,-81.0,4
-83.0,-81.0,-83.0,-72.0,-81.0,4
-83.0,-81.0,-82.0,-72.0,-81.0,4
-84.0,-81.0,-82.0,-72.0,-81.0,4
-84.0,-81.0,-82.0,-74.0,-81.0,4
-84.0,-87.0,-82.0,-74.0,-81.0,4
-84.0,-87.0,-82.0,-74.0,-80.0,4
-79.0,-87.0,-82.0,-74.0,-80.0,4
-79.0,-87.0,-82.0,-72.0,-80.0,4
-79.0,-90.0,-82.0,-72.0,-80.0,4
-79.0,-90.0,-82.0,-72.0,-77.0,4
-79.0,-90.0,-83.0,-72.0,-77.0,4
-82.0,-90.0,-83.0,-72.0,-77.0,4
-82.0,-90.0,-83.0,-72.0,-82.0,4
-82.0,-90.0,-83.0,-73.0,-82.0,4
-82.0,-90.0,-83.0,-69.0,-82.0,4
-82.0,-90.0,-83.0,-74.0,-82.0,4
-82.0,-86.0,-83.0,-74.0,-82.0,4
-82.0,-86.0,-83.0,-74.0,-75.0,4
-82.0,-86.0,-81.0,-74.0,-75.0,4
-82.0,-86.0,-81.0,-74.0,-80.0,4
-82.0,-86.0,-81.0,-73.0,-80.0,4
-82.0,-86.0,-81.0,-77.0,-80.0,4
-83.0,-86.0,-81.0,-77.0,-80.0,4
-83.0,-86.0,-81.0,-75.0,-80.0,4
-83.0,-86.0,-81.0,-72.0,-80.0,4
-83.0,-86.0,-84.0,-72.0,-80.0,4
-83.0,-86.0,-84.0,-72.0,-77.0,4
-83.0,-84.0,-84.0,-72.0,-77.0,4
-83.0,-84.0,-86.0,-72.0,-77.0,4
-84.0,-84.0,-86.0,-72.0,-77.0,4
-84.0,-84.0,-86.0,-72.0,-79.0,4
-84.0,-84.0,-86.0,-72.0,-75.0,4
-84.0,-86.0,-86.0,-72.0,-75.0,4
-84.0,-86.0,-83.0,-72.0,-75.0,4
-84.0,-86.0,-83.0,-72.0,-80.0,4
-84.0,-86.0,-83.0,-74.0,-80.0,4
-84.0,-86.0,-83.0,-74.0,-76.0,4
-84.0,-86.0,-83.0,-71.0,-76.0,4
-80.0,-86.0,-83.0,-71.0,-76.0,4
-80.0,-86.0,-83.0,-71.0,-81.0,4
-80.0,-86.0,-85.0,-71.0,-81.0,4
-80.0,-86.0,-85.0,-78.0,-81.0,4
-80.0,-86.0,-85.0,-78.0,-77.0,4
-80.0,-84.0,-85.0,-78.0,-77.0,4
-80.0,-84.0,-85.0,-70.0,-77.0,4
-80.0,-84.0,-85.0,-70.0,-84.0,4
-81.0,-84.0,-85.0,-70.0,-84.0,4
-81.0,-84.0,-84.0,-70.0,-84.0,4
-81.0,-82.0,-84.0,-70.0,-80.0,4
-81.0,-85.0,-84.0,-69.0,-80.0,4
-81.0,-85.0,-84.0,-69.0,-76.0,4
-81.0,-85.0,-83.0,-69.0,-76.0,4
-81.0,-85.0,-83.0,-74.0,-76.0,4
-84.0,-85.0,-83.0,-74.0,-76.0,4
-84.0,-83.0,-83.0,-74.0,-76.0,4
-84.0,-83.0,-86.0,-74.0,-76.0,4
-84.0,-83.0,-86.0,-69.0,-76.0,4
-84.0,-83.0,-86.0,-69.0,-82.0,4
-84.0,-83.0,-85.0,-69.0,-82.0,4
-84.0,-83.0,-85.0,-78.0,-82.0,4
-84.0,-83.0,-85.0,-78.0,-81.0,4
-84.0,-84.0,-85.0,-78.0,-81.0,4
-84.0,-84.0,-86.0,-78.0,-81.0,4
-84.0,-84.0,-86.0,-72.0,-81.0,4
-84.0,-84.0,-86.0,-72.0,-80.0,4
-84.0,-83.0,-86.0,-72.0,-80.0,4
-84.0,-83.0,-84.0,-72.0,-80.0,4
-84.0,-83.0,-84.0,-75.0,-80.0,4
-84.0,-83.0,-84.0,-75.0,-81.0,4
-84.0,-81.0,-84.0,-75.0,-81.0,4
-84.0,-81.0,-86.0,-75.0,-81.0,4
-84.0,-81.0,-86.0,-75.0,-77.0,4
-84.0,-84.0,-86.0,-75.0,-77.0,4
-89.0,-84.0,-86.0,-75.0,-77.0,4
-89.0,-84.0,-90.0,-75.0,-77.0,4
-89.0,-84.0,-90.0,-74.0,-77.0,4
-89.0,-84.0,-90.0,-74.0,-82.0,4
-89.0,-84.0,-86.0,-74.0,-82.0,4
-89.0,-84.0,-86.0,-77.0,-82.0,4
-89.0,-84.0,-86.0,-77.0,-78.0,4
-89.0,-84.0,-87.0,-77.0,-78.0,4
-89.0,-84.0,-87.0,-77.0,-81.0,4
-89.0,-84.0,-85.0,-77.0,-81.0,4
-89.0,-84.0,-85.0,-72.0,-81.0,4
-89.0,-84.0,-85.0,-72.0,-82.0,4
-89.0,-84.0,-84.0,-72.0,-82.0,4
-89.0,-84.0,-89.0,-72.0,-82.0,4
-89.0,-89.0,-89.0,-72.0,-82.0,4
-85.0,-89.0,-89.0,-72.0,-82.0,4
-85.0,-89.0,-89.0,-78.0,-82.0,4
-85.0,-81.0,-89.0,-78.0,-82.0,4
-85.0,-81.0,-89.0,-78.0,-83.0,4
-85.0,-81.0,-89.0,-78.0,-80.0,4
-88.0,-81.0,-89.0,-78.0,-80.0,4
-88.0,-81.0,-89.0,-74.0,-80.0,4
-88.0,-81.0,-89.0,-74.0,-77.0,4
-88.0,-81.0,-89.0,-76.0,-77.0,4
-88.0,-81.0,-85.0,-76.0,-77.0,4
-88.0,-84.0,-85.0,-76.0,-77.0,4
-88.0,-84.0,-85.0,-76.0,-83.0,4
-89.0,-84.0,-85.0,-76.0,-83.0,4
-89.0,-91.0,-85.0,-76.0,-83.0,4
-89.0,-91.0,-85.0,-76.0,-81.0,4
-89.0,-91.0,-85.0,-74.0,-81.0,4
-85.0,-91.0,-85.0,-74.0,-81.0,4
-85.0,-91.0,-85.0,-66.0,-81.0,4
-85.0,-85.0,-85.0,-66.0,-81.0,4
-83.0,-85.0,-85.0,-66.0,-81.0,4
-83.0,-85.0,-85.0,-71.0,-81.0,4
-83.0,-85.0,-85.0,-71.0,-80.0,4
-83.0,-85.0,-85.0,-70.0,-80.0,4
-83.0,-85.0,-84.0,-70.0,-80.0,4
-83.0,-85.0,-84.0,-72.0,-80.0,4
-83.0,-82.0,-84.0,-72.0,-80.0,4
-83.0,-82.0,-84.0,-72.0,-76.0,4
-83.0,-82.0,-86.0,-72.0,-76.0,4
-89.0,-82.0,-86.0,-72.0,-76.0,4
-89.0,-82.0,-86.0,-72.0,-82.0,4
-89.0,-84.0,-86.0,-72.0,-82.0,4
-89.0,-84.0,-87.0,-72.0,-82.0,4
-89.0,-84.0,-87.0,-80.0,-82.0,4
-89.0,-83.0,-87.0,-80.0,-82.0,4
-89.0,-83.0,-87.0,-80.0,-80.0,4
-89.0,-83.0,-87.0,-77.0,-80.0,4
-89.0,-83.0,-87.0,-77.0,-81.0,4
-89.0,-84.0,-87.0,-77.0,-74.0,4
-83.0,-83.0,-84.0,-80.0,-74.0,4
-83.0,-86.0,-84.0,-80.0,-74.0,4
-83.0,-86.0,-85.0,-80.0,-74.0,4
-82.0,-86.0,-84.0,-78.0,-81.0,4
-82.0,-83.0,-84.0,-78.0,-81.0,4
-82.0,-83.0,-84.0,-77.0,-81.0,4
-84.0,-89.0,-83.0,-81.0,-80.0,4
-84.0,-83.0,-83.0,-81.0,-80.0,4
-84.0,-83.0,-83.0,-81.0,-74.0,4
-84.0,-83.0,-88.0,-81.0,-74.0,4
-84.0,-83.0,-88.0,-85.0,-74.0,4
-84.0,-84.0,-88.0,-85.0,-74.0,4
-84.0,-84.0,-88.0,-85.0,-80.0,4
-84.0,-84.0,-88.0,-75.0,-80.0,4
-84.0,-86.0,-88.0,-75.0,-80.0,4
-87.0,-86.0,-88.0,-75.0,-80.0,4
-87.0,-86.0,-88.0,-75.0,-75.0,4
-87.0,-86.0,-83.0,-75.0,-75.0,4
-87.0,-86.0,-83.0,-83.0,-75.0,4
-87.0,-86.0,-83.0,-83.0,-81.0,4
-84.0,-86.0,-83.0,-83.0,-81.0,4
-84.0,-86.0,-83.0,-75.0,-81.0,4
-84.0,-86.0,-88.0,-75.0,-81.0,4
-84.0,-86.0,-88.0,-81.0,-76.0,4
-84.0,-86.0,-88.0,-81.0,-80.0,4
-84.0,-86.0,-88.0,-79.0,-80.0,4
-84.0,-86.0,-88.0,-79.0,-77.0,4
-84.0,-86.0,-88.0,-75.0,-77.0,4
-84.0,-86.0,-89.0,-75.0,-77.0,4
-84.0,-86.0,-89.0,-75.0,-79.0,4
-84.0,-86.0,-89.0,-79.0,-79.0,4
-84.0,-86.0,-85.0,-79.0,-79.0,4
-84.0,-86.0,-85.0,-79.0,-76.0,4
-87.0,-86.0,-85.0,-79.0,-76.0,4
-87.0,-86.0,-85.0,-77.0,-76.0,4
-87.0,-86.0,-84.0,-77.0,-76.0,4
-87.0,-86.0,-84.0,-77.0,-80.0,4
-88.0,-86.0,-84.0,-77.0,-80.0,4
-88.0,-86.0,-84.0,-73.0,-80.0,4
-88.0,-86.0,-84.0,-73.0,-75.0,4
-88.0,-86.0,-84.0,-73.0,-83.0,4
-86.0,-86.0,-84.0,-73.0,-83.0,4
-86.0,-86.0,-84.0,-76.0,-83.0,4
-86.0,-86.0,-83.0,-76.0,-83.0,4
-86.0,-86.0,-83.0,-75.0,-83.0,4
-86.0,-86.0,-83.0,-75.0,-75.0,4
-86.0,-86.0,-84.0,-75.0,-75.0,4
-86.0,-86.0,-84.0,-75.0,-84.0,4
-86.0,-86.0,-84.0,-74.0,-84.0,4
-87.0,-86.0,-84.0,-74.0,-84.0,4
-87.0,-86.0,-84.0,-72.0,-84.0,4
-83.0,-86.0,-84.0,-72.0,-84.0,4
-83.0,-86.0,-84.0,-71.0,-84.0,4
-83.0,-86.0,-84.0,-75.0,-84.0,4
-83.0,-86.0,-84.0,-75.0,-77.0,4
-85.0,-86.0,-84.0,-75.0,-77.0,4
-85.0,-87.0,-84.0,-75.0,-77.0,4
-85.0,-87.0,-84.0,-75.0,-84.0,4
-85.0,-87.0,-84.0,-74.0,-84.0,4
-85.0,-87.0,-85.0,-74.0,-84.0,4
-85.0,-87.0,-85.0,-74.0,-76.0,4
-85.0,-87.0,-85.0,-75.0,-76.0,4
-85.0,-87.0,-85.0,-75.0,-84.0,4
-87.0,-87.0,-85.0,-75.0,-84.0,4
-87.0,-87.0,-86.0,-75.0,-84.0,4
-87.0,-83.0,-86.0,-75.0,-84.0,4
-87.0,-83.0,-86.0,-75.0,-79.0,4
-87.0,-83.0,-85.0,-75.0,-84.0,4
-87.0,-83.0,-85.0,-75.0,-75.0,4
-87.0,-83.0,-85.0,-74.0,-75.0,4
-87.0,-83.0,-84.0,-74.0,-75.0,4
-87.0,-83.0,-84.0,-74.0,-84.0,4
-86.0,-83.0,-84.0,-74.0,-84.0,4
-86.0,-83.0,-86.0,-74.0,-84.0,4
-86.0,-84.0,-86.0,-74.0,-84.0,4
-86.0,-84.0,-86.0,-74.0,-76.0,4
-86.0,-84.0,-86.0,-74.0,-79.0,4
-86.0,-84.0,-85.0,-74.0,-79.0,4
-85.0,-84.0,-85.0,-74.0,-79.0,4
-85.0,-84.0,-85.0,-74.0,-75.0,4
-87.0,-84.0,-85.0,-74.0,-75.0,4
-87.0,-84.0,-85.0,-74.0,-78.0,4
-87.0,-84.0,-85.0,-72.0,-78.0,4
-87.0,-85.0,-85.0,-72.0,-78.0,4
-87.0,-85.0,-85.0,-72.0,-77.0,4
-87.0,-85.0,-85.0,-74.0,-77.0,4
-85.0,-85.0,-85.0,-74.0,-77.0,4
-85.0,-85.0,-85.0,-74.0,-83.0,4
-85.0,-85.0,-85.0,-73.0,-83.0,4
